seqlen,method,rep,ms
1024,vmm_paged,9,0.04982399940490723
1024,contiguous,10,0.04918399825692177
1024,vmm_paged,10,0.049215998500585556
1024,contiguous,11,0.04975999891757965
1024,vmm_paged,11,0.04956800118088722
1024,contiguous,12,0.04886399954557419
1024,vmm_paged,12,0.050592001527547836
1024,contiguous,13,0.04854400083422661
1024,vmm_paged,13,0.049247998744249344
1024,contiguous,14,0.048928000032901764
1024,vmm_paged,14,0.04979199916124344
1024,contiguous,15,0.04825599864125252
1024,vmm_paged,15,0.05020799860358238
1024,contiguous,16,0.04879999905824661
1024,vmm_paged,16,0.048928000032901764
1024,contiguous,17,0.049536000937223434
1024,vmm_paged,17,0.049855999648571014
1024,contiguous,18,0.049536000937223434
1024,vmm_paged,18,0.04927999898791313
1024,contiguous,19,0.056063998490571976
1024,vmm_paged,19,0.04940799996256828
1024,contiguous,20,0.04947200044989586
1024,vmm_paged,20,0.04918399825692177
1024,contiguous,21,0.04915200173854828
1024,vmm_paged,21,0.04902400076389313
1024,contiguous,22,0.04873599857091904
1024,vmm_paged,22,0.048928000032901764
1024,contiguous,23,0.048576001077890396
1024,vmm_paged,23,0.04896000027656555
1024,contiguous,24,0.049375999718904495
1024,vmm_paged,24,0.04934399947524071
1024,contiguous,25,0.04918399825692177
1024,vmm_paged,25,0.04931199923157692
1024,contiguous,26,0.051231998950242996
1024,vmm_paged,26,0.04912000149488449
1024,contiguous,27,0.049855999648571014
1024,vmm_paged,27,0.04896000027656555
1024,contiguous,28,0.049056001007556915
1024,vmm_paged,28,0.049536000937223434
1024,contiguous,29,0.04870399832725525
1024,vmm_paged,29,0.04864000156521797
1024,contiguous,30,0.049247998744249344
1024,vmm_paged,30,0.04918399825692177
1024,contiguous,31,0.049247998744249344
1024,vmm_paged,31,0.04975999891757965
1024,contiguous,32,0.0490880012512207
1024,vmm_paged,32,0.049247998744249344
1024,contiguous,33,0.0504320003092289
1024,vmm_paged,33,0.049375999718904495
1024,contiguous,34,0.049056001007556915
1024,vmm_paged,34,0.0490880012512207
1024,contiguous,35,0.048576001077890396
1024,vmm_paged,35,0.049056001007556915
1024,contiguous,36,0.04896000027656555
1024,vmm_paged,36,0.05020799860358238
1024,contiguous,37,0.049536000937223434
1024,vmm_paged,37,0.0488319993019104
1024,contiguous,38,0.04947200044989586
1024,vmm_paged,38,0.04934399947524071
1024,contiguous,39,0.04896000027656555
1024,vmm_paged,39,0.050175998359918594
1024,contiguous,40,0.05023999884724617
1024,vmm_paged,40,0.04995200037956238
1024,contiguous,41,0.049247998744249344
1024,vmm_paged,41,0.04940799996256828
1024,contiguous,42,0.04912000149488449
1024,vmm_paged,42,0.04902400076389313
1024,contiguous,43,0.048767998814582825
1024,vmm_paged,43,0.048608001321554184
1024,contiguous,44,0.0490880012512207
1024,vmm_paged,44,0.0488319993019104
1024,contiguous,45,0.04864000156521797
1024,vmm_paged,45,0.05011200159788132
1024,contiguous,46,0.04947200044989586
1024,vmm_paged,46,0.055743999779224396
1024,contiguous,47,0.04873599857091904
